Sentence;Word;Tag
13;mengalami;
13;peningkatan;
13;hingga;
13;219%;
13;menjadi;
13;529.266,64;B-qty
13;ha.;I-qty
14;Pada;
14;setahun;
14;setelahnya;
14;pun;
14;kembali;
14;meningkat;
14;211%;
14;mencapai;
14;16;B-qty
14;juta;I-qty
14;ha.;I-qty
15;Namun,;
15;kembali;
15;menurun;
15;82%;
15;pada;
15;2020.;
16;"
Bencana";
16;karhutla;
16;di;
16;Indonesia;B-geo
16;setiap;
16;tahun;
16;terus;
16;berulang.;
17;Kejadian;
17;ini;
17;tentunya;
17;menyebabkan;
17;kerusakan;
17;lingkungan;
17;bahkan;
17;kerugian;
17;ekonomi.;
18;Untuk;
18;itu,;
18;perlu;
18;adanya;
18;upaya;
18;pencegahan;
18;dan;
18;penanggulangan;
18;karhutla;
18;di;
18;Indonesia;B-geo
18;terlebih;
18;kawasan;
18;yang;
18;sering;
18;mengalami;
18;kejadian;
18;tersebut.;
19;"
(Baca:";
19;LAPAN;B-geo
19;Deteksi;
19;310;B-qty
19;Titik;
19;Panas;
19;di;
19;Indonesia,;B-geo
19;Terbanyak;
19;di;
19;Kalimantan;B-geo
19;"Barat)

IKLAN";
20;Laporan;
20;terbaru;
20;Greenpeace;B-org
20;Asia;B-geo
20;Tenggara;I-geo
20;‘Karhutla;
20;Dalam;
20;Lima;B-tim
20;Tahun;I-tim
20;Terakhir’;I-tim
20;mengungkap;
20;kegagalan;
20;total;
20;pemerintah;
20;Indonesia;B-geo
20;dalam;
20;melindungi;
20;hutan;
20;dan;
20;lahan;
20;gambut;
20;dari;
20;pembakaran.;
21;Terungkap;
21;sekitar;
21;4,4;B-qty
21;juta;I-qty
21;hektar;I-qty
21;lahan;
21;atau;
21;setara;
21;8;B-qty
21;kali;I-qty
21;luas;
21;pulau;B-geo
21;Bali;I-geo
21;terbakar;
21;antara;
21;tahun;
21;2015-2019.;B-tim
22;Laporan;
22;tersebut;
22;menyoroti;
22;sejumlah;
22;perusahaan;B-org
22;perkebunan;I-org
22;paling;
22;merusak;
22;yang;
22;beroperasi;
22;di;
22;negara;
22;ini,;
22;kemudian;
22;Undang-Undang;
22;Cipta;
22;Kerja;
22;yang;
22;baru;
22;disahkan;
22;demi;
22;kepentingan;
22;bisnis;
22;yang;
22;mengancam;
22;aturan;
22;perlindungan;
22;lingkungan;
22;dan;
22;memperburuk;
22;risiko;
22;kebakaran;
22;hutan;
22;dan;
22;lahan;
22;(karhutla).;
23;"
Analisis";
23;berdasarkan;
23;data;
23;yang;
23;tersedia;
23;di;
23;publik;
23;Greenpeace;B-org
23;Asia;B-geo
23;Tenggara;I-geo
23;"menemukan:

Antara";
23;2015;B-tim
23;–;I-tim
23;2019,;I-tim
23;4,4;B-qty
23;juta;I-qty
23;hektar;I-qty
23;lahan;
23;telah;
23;terbakar;
23;di;
23;Indonesia.;B-geo
24;Sekitar;
24;789.600;B-qty
24;hektar;I-qty
24;kawasan;
24;ini;
24;(18;
24;persen;
24;diantaranya);
24;telah;
24;berulang;
24;kali;
24;terbakar.;
25;"
1,3";B-qty
25;juta;I-qty
25;hektar;I-qty
25;(30;
25;persen);
25;dari;
25;area;
25;kebakaran;
25;yang;
25;dipetakan;
25;antara;B-tim
25;2015;I-tim
25;–;I-tim
25;2019;I-tim
25;berada;
25;di;
25;konsesi;
25;kelapa;
25;sawit;
25;dan;
25;bubur;
25;kertas;
25;(pulp).;
26;"
Pada";
26;tahun;B-tim
26;2019,;I-tim
26;karhutla;
26;tahunan;
26;terburuk;
26;sejak;B-tim
26;2015;I-tim
26;yang;
26;membakar;
26;1,6;B-qty
26;juta;I-qty
26;hektar;I-qty
26;hutan;
26;dan;
26;lahan;
26;atau;
26;setara;
26;27;
26;kali;
26;luas;
26;wilayah;
26;DKI;B-geo
26;Jakarta.;I-geo
27;"
8";
27;dari;
27;10;
27;perusahaan;B-org
27;kelapa;I-org
27;sawit;I-org
27;dengan;
27;area;
27;terbakar;
27;terbesar;
27;di;
27;konsesi;
27;mereka;
27;dari;B-tim
27;2015;I-tim
27;hingga;I-tim
27;2019,;I-tim
27;belum;
27;menerima;
27;sanksi;
27;apapun;
27;meskipun;
27;kebakaran;
27;terjadi;
27;dalam;
27;beberapa;B-tim
27;tahun;I-tim
27;terakhir;I-tim
27;di;
27;dalam;
27;konsesi;
27;mereka.;
28;"[1]

Perusahaan";
28;perkebunan;
28;dan;
28;lahan;
28;Hak;
28;Guna;
28;Usaha;
28;terbakar;
28;untuk;
28;dicabut;
28;dan;
28;membayar;
28;potensi;
28;denda;
28;sekitar;
28;5,7;B-qty
28;triliun;I-qty
28;rupiah;I-qty
28;"[2]

Petinggi";
28;asosiasi;
28;GAPKI;B-org
28;dan;
28;APHI;B-org
28;menjadi;
28;anggota;
28;satgas;
28;RUU;
28;Cipta;
28;Kerja,;
28;ini;
28;dapat;
28;menimbulkan;
28;konflik;
28;kepentingan.;
29;Sebab;
29;ditemukan;
29;total;
29;12;B-qty
29;perusahaan;I-qty
29;yang;
29;merupakan;
29;anggota;
29;GAPKI;B-geo
29;atau;
29;APHI;B-geo
29;dengan;
29;area;
29;terbakar;
29;terbesar;
29;di;
29;kategori;
29;perkebunannya;
29;masing-masing.;
30;"
Untuk";
30;bacaan;
30;lebih;
30;lanjut,;
30;Anda;
30;dapat;
30;membaca;
30;dan;
30;mengunduh;
30;laporan;
30;selengkapnya;
30;dibawah;
30;"ini:

Catatan:

[1]";
30;Data;
30;menunjukkan;
30;bahwa;
30;antara;B-tim
30;tahun;I-tim
30;2015;I-tim
30;dan;I-tim
30;2019,;I-tim
30;sebanyak;
30;258;B-qty
30;sanksi;I-qty
30;administratif;
30;diterbitkan,;
30;dengan;
30;51;B-qty
30;tuntutan;I-qty
30;pidana;I-qty
30;dan;
30;21;B-qty
30;gugatan;I-qty
30;perdata.;I-qty
31;Angka-angka;
31;ini;
31;berbeda;
31;dengan;
31;yang;
31;dilaporkan;
31;oleh;
31;Kementerian;B-org
31;Lingkungan;I-org
31;Hidup;I-org
31;dan;I-org
31;Kehutanan,;I-org
31;yang;
31;tidak;
31;dapat;
31;diverifikasi;
31;oleh;
31;Greenpeace.;B-org
32;Kementerian;
32;mengklaim;
32;telah;
32;mengajukan;
32;19;B-qty
32;tuntutan;I-qty
32;hukum;I-qty
32;perdata;I-qty
32;dan;
32;bahwa;
32;vonis;
32;bersalah;
32;telah;
32;dikembalikan;
32;dalam;
32;sembilan;B-qty
32;kasus;I-qty
32;ini,;
32;dengan;
32;perusahaan;
32;diperintahkan;
32;untuk;
32;membayar;
32;denda;
32;untuk;
32;kompensasi;
32;material;
32;dan;
32;restorasi;
32;–;
32;namun;
32;menurut;
32;Kementerian,;B-org
32;hingga;B-tim
32;April;I-tim
32;2020;I-tim
32;hanya;
32;satu;
32;perusahaan;
32;yang;
32;mematuhinya.;
33;Kementerian;B-org
33;sendiri;
33;telah;
33;mengajukan;
33;tuntutan;
33;pidana;
33;terhadap;
33;perusahaan;
33;hanya;
33;dalam;
33;lima;B-qty
33;kasus,;I-qty
33;menghasilkan;
33;empat;B-qty
33;vonis;I-qty
33;bersalah.;I-qty
34;Mempertimbangkan;
34;skala;
34;kebakaran,;
34;dengan;
34;kerusakan;
34;di;
34;tahun;B-tim
34;2019;I-tim
34;mulai;
34;mendekati;
34;kerusakan;
34;yang;
34;terlihat;
34;pada;
34;tahun;B-tim
34;2015,;I-tim
34;tanggapan;
34;pemerintah;
34;tampaknya;
34;tidak;
34;menunjukkan;
34;penegakan;
34;hukum;
34;yang;
34;serius;
34;dan;
34;efektif.;
35;"
[2]";
35;Perhitungan;
35;nominal;
35;potensi;
35;denda;
35;berdasarkan;
35;pasal;
35;5;
35;(ayat;
35;b);
35;Peraturan;
35;Menteri;B-org
35;Agraria;I-org
35;dan;
35;Tata;
35;Ruang/BPN;
35;No;
35;15;
35;Tahun;
35;2016;
35;tentang;
35;Tata;
35;Cara;
35;Pelepasan;
35;atau;
35;Pembatalan;
35;HGU;
35;atau;
35;Hak;
35;Pakai;
35;pada;
35;Lahan;
35;yang;
35;Terbakar.;
36;Liputan6.com,;
36;Pekanbaru;B-geo
36;-;
36;Provinsi;B-geo
36;Riau,;I-geo
36;begitu;
36;juga;
36;daerah;
36;rawan;
36;lainnya,;
36;sudah;
36;beberapa;
36;tahun;
36;bebas;
36;bencana;
36;kabut;
36;asap;
36;dari;
36;kebakaran;
36;hutan;
36;dan;
36;lahan;
36;(Karhutla).;
37;Tahun;
37;depan,;
37;ancaman;
37;itu;
37;bisa;
37;terjadi;
37;karena;
37;curah;
37;hujan;
37;tahun;B-tim
37;2022;I-tim
37;diprakirakan;
37;lebih;
37;sedikit.;
38;"
Sebagai";
38;antisipasi;
38;kebakaran;
38;lahan;
38;pada;
38;2022,;B-tim
38;Kementerian;B-geo
38;Lingkungan;I-geo
38;Hidup;I-geo
38;dan;I-geo
38;Kehutanan;I-geo
38;(KLHK);I-geo
38;mengumpulkan;
38;pihak;
38;terkait;
38;secara;
38;virtual;
38;pada;
38;Kamis,;B-tim
38;30;I-tim
38;Desember;I-tim
38;2021.;I-tim
39;Kegiatan;
39;ini;
39;dihadiri;
39;Badan;B-org
39;Meteorologi;I-org
39;Klimatologi;I-org
39;dan;I-org
39;Geofisika;I-org
39;(BMKG);I-org
39;serta;
39;Kepala;
39;Badan;B-org
39;Penanggulangan;I-org
39;Bencana;I-org
39;Daerah;I-org
39;(BPBD);I-org
39;seluruh;
39;Indonesia,;B-geo
39;termasuk;
39;Riau.;B-geo
40;"
Dirjen";
40;Pengendalian;B-org
40;Perubahan;I-org
40;Iklim;I-org
40;(PPI);I-org
40;KLHK,;
40;Laksmi;B-per
40;Dhewanthi;I-per
40;menyatakan,;
40;kebakaran;
40;lahan;
40;berpotensi;
40;terjadi.;
41;Faktor;
41;alam;
41;harus;
41;diantisipasi;
41;dengan;
41;berbagai;
41;tindakan;
41;antisipasi;
41;dini.;
42;"
Laksmi";B-per
42;menjelaskan,;
42;pengendalian;
42;Karhutla;
42;harus;
42;berpijak;
42;kepada;
42;Instruksi;
42;Presiden;
42;Nomor;
42;3;
42;Tahun;
42;2020;
42;tentang;
42;Penanggulangan;
42;Kebakaran;
42;Hutan;
42;dan;
42;Lahan.;
43;Di;
43;dalamnya;
43;mengatur;
43;penugasan;
43;untuk;
43;setiap;
43;kementerian;
43;dan;
43;lembaga;
43;serta;
43;kepala;
43;daerah;
43;agar;
43;aktif;
43;mencegah.;
44;"
""Presiden";B-per
44;selalu;
44;menekankan;
44;pentingnya;
44;peningkatan;
44;pencegahan;
44;kebakaran;
44;hutan;
44;dan;
44;lahan;
44;melalui;
44;konsolidasi;
44;dalam;
44;penanganan;
44;karhutla;
44;secara;
44;menyeluruh;
44;oleh;
44;seluruh;
44;pihak;
44;mulai;
44;dari;
44;pusat;
44;ke;
44;"daerah,""";
44;terangnya.;
45;"
Dari";
45;hasil;
45;monitoring;
45;hotspot;
45;hingga;
45;29;B-tim
45;Desember;I-tim
45;2021,;I-tim
45;ditemukan;
45;1.385;B-qty
45;titik.;I-qty
46;Angka;
46;ini;
46;turun;
46;52,5;
46;persen;
46;bila;
46;dibandingkan;
46;tahun;B-tim
46;2020,;I-tim
46;di;
46;mana;
46;ketika;
46;itu;
46;ditemukan;
46;ada;
46;sebanyak;
46;2.919;B-qty
46;titik;I-qty
46;panas.;I-qty
47;"
Karhutla";
47;terluas;
47;berada;
47;di;
47;Provinsi;B-geo
47;Nusa;I-geo
47;Tenggara;I-geo
47;Timur;I-geo
47;dan;
47;Nusa;B-geo
47;Tenggara;I-geo
47;Barat,;I-geo
47;Kalimantan;B-geo
47;Barat,;I-geo
47;Papua,;B-geo
47;dan;
47;Riau.;B-geo
48;Namun,;
48;khusus;
48;untuk;
48;Papua;B-geo
48;dan;
48;Riau,;B-geo
48;telah;
48;terjadi;
48;tren;
48;penurunan;
48;yang;
48;signifikan.;
49;"
""Alhamdulillah,";
49;sejak;
49;tahun;B-tim
49;2020;I-tim
49;hingga;I-tim
49;2021;I-tim
49;tidak;
49;ada;
49;lagi;
49;bencana;
49;kabut;
49;asap;
49;yang;
49;selama;
49;ini;
49;kerap;
49;mencoreng;
49;nama;
49;baik;
49;Indonesia;
49;di;
49;mata;
49;negara;
49;"lain,""";
49;tambahnya.;
50;"
Sementara,";
50;untuk;
50;menghadapi;
50;2022,;
50;sesuai;
50;hasil;
50;monitoring;
50;BMKG,;B-org
50;kondisi;
50;ENSO;
50;La-Nina;
50;cenderung;
50;menunjukkan;
50;terjadinya;
50;pelemahan;
50;hingga;
50;moderat.;
51;Kondisi;
51;ini;
51;diprediksi;
51;akan;
51;berlangsung;
51;hingga;
51;Mei-Juni-Juli;B-tim
51;2022.;I-tim
52;"
Pada";
52;saat;
52;itu,;
52;sebanyak;
52;93,27;
52;persen;
52;wilayah;
52;Indonesia;
52;sudah;
52;masuk;
52;musim;
52;hujan,;
52;termasuk;
52;Riau;B-geo
52;sebagai;
52;daerah;
52;rawan;
52;serta;
52;beberapa;
52;daerah;
52;lainnya;
52;di;
52;Sumatra;B-geo
52;dan;
52;Kalimantan.;B-geo
53;"
""Kondisi";
53;ini;
53;harus;
53;menjadi;
53;perhatian;
53;khusus;
53;bagi;
53;kita,;
53;dalam;
53;rangka;
53;mengantisipasi;
53;terjadinya;
53;"karhutla,""";
53;ingatnya.;
54;lebih;
54;dari;
54;12.200;B-qty
54;orang;I-qty
54;telah;
54;dievakuasi;
54;dari;
54;daerah;
54;itu;
54;pada;
54;Sabtu;B-tim
54;pagi;I-tim
54;dan;
54;lebih;
54;dari;
54;1.000;B-qty
54;petugas;I-qty
54;pemadam;
54;kebakaran;
54;berusaha;
54;mengendalikan;
54;api,;
54;kata;
54;otoritas;
54;regional.;
55;Kebakaran;
55;Hutan;
55;Ini;
55;Sulit;
55;Dipadamkan;
55;Karena;
55;Simpan;
55;Amunisi;
55;PD;
55;"II

Kebakaran";
55;besar;
55;terjadi;
55;di;
55;hutan;
55;kota;
55;terbesar;
55;di;
55;Berlin.;
56;Makin;
56;sulit;
56;dipadamkan;
56;karena;
56;hutan;
56;itu;
56;menyimpan;
56;timbunan;
56;amunisi;
56;era;
56;PD;
56;II.;
57;Kebakaran;
57;hutan;
57;di;
57;Kalimantan;B-geo
57;Tengah:;I-geo
57;Putusan;
57;MA;
57;bebaskan;
57;perusahaan;
57;dalam;
57;kasus;
57;karhutla;
57;'preseden;
57;buruk',;
57;kata;
57;aktivis;
57;"lingkungan

11";
57;November;
57;2021;
57;Diperbarui;
57;11;B-tim
57;November;I-tim
57;"2021

Sumber";
57;gambar,;
57;AFP;
57;Keterangan;
57;gambar,;
57;Pemadam;
57;kebakaran;
57;berupaya;
57;menjinakkan;
57;api;
57;di;
57;sebuah;
57;lahan;
57;di;
57;Kampung;B-geo
57;Rambutan,;I-geo
57;Ogan;I-geo
57;Ilir,;I-geo
57;Sumatera;I-geo
57;Selatan,;I-geo
57;11;B-tim
57;September;I-tim
57;2019.;I-tim
58;"
Putusan";
58;bebas;
58;bagi;
58;perusahaan;
58;yang;
58;dituduh;
58;membakar;
58;lahan;
58;dan;
58;hutan;
58;di;
58;Kalimantan;B-geo
58;Tengah;I-geo
58;oleh;
58;hakim;
58;kasasi;
58;di;
58;Mahkamah;B-org
58;Agung;I-org
58;dikhawatirkan;
58;bakal;
58;menjadi;
58;preseden;
58;buruk;
58;dalam;
58;memutus;
58;perkara;
58;karhutla;
58;di;
58;masa;
58;mendatang.;
59;"
Kasus";
59;yang;
59;digugat;
59;pada;
59;tahun;B-tim
59;2019;I-tim
59;itu;
59;mendakwa;
59;PT;B-org
59;Kumai;I-org
59;Sentosa;I-org
59;membayar;
59;ganti;
59;rugi;
59;kebakaran;
59;lahan;
59;sebesar;
59;Rp935;B-qty
59;miliar.;I-qty
60;"
Beberapa";
60;aktivis;
60;lingkungan;
60;mendesak;
60;jaksa;
60;penuntut;
60;mengajukan;
60;Peninjauan;
60;Kembali;
60;atas;
60;vonis;
60;tersebut;
60;karena;
60;putusan;
60;itu;
60;dianggap;
60;janggal;
60;lantaran;
60;hakim;
60;tidak;
60;jeli;
60;dalam;
60;menggali;
60;fakta;
60;di;
60;lapangan.;
61;"
Adapun";
61;catatan;
61;LSM;
61;lingkungan;
61;Walhi,;
61;gugatan;
61;karhutla;
61;yang;
61;menang;
61;di;
61;pengadilan;
61;sebesar;
61;Rp18;B-qty
61;triliun;I-qty
61;tak;
61;kunjung;
61;dieksekusi;
61;oleh;
61;pemerintah.;
62;"
Pengkampanye";
62;Walhi;
62;Nasional,;
62;Uli;B-per
62;Artha;I-per
62;Siagian,;I-per
62;mengaku;
62;khawatir;
62;gugatan;
62;banding;
62;mereka;
62;di;
62;Pengadilan;B-org
62;Tinggi;I-org
62;Jambi;I-org
62;terhadap;
62;dua;
62;perusahaan;
62;atas;
62;kebakaran;
62;lahan;
62;dan;
62;hutan;
62;yang;
62;terjadi;
62;dalam;
62;konsesi;
62;mereka;
62;bakal;
62;bernasib;
62;sama;
62;seperti;
62;PT;B-org
62;Kumai;I-org
62;Sentosa;I-org
62;yang;
62;lepas;
62;dari;
62;jerat;
62;hukum.;
63;"
Pasalnya";
63;pada;
63;28;B-tim
63;Oktober;I-tim
63;lalu;
63;Majelis;
63;Hakim;
63;Pengadilan;B-org
63;Negeri;I-org
63;Jambi;I-org
63;dalam;
63;putusan;
63;sela,;
63;menolak;
63;gugatan;
63;mereka;
63;dengan;
63;alasan;
63;tidak;
63;berwenang;
63;memeriksa;
63;dan;
63;memutus;
63;perkara.;
64;Bahkan;
64;hakim;
64;menghukum;
64;penggugat;
64;untuk;
64;membayar;
64;biaya;
64;perkara;
64;sebesar;
64;Rp4,5;B-qty
64;juta.;I-qty
65;"
""[Khawatir]";
65;pasti;
65;ada.;
66;Karena;
66;mereka;
66;mencoba;
66;tunjukkan;
66;di;
66;putusan;
66;sela;
66;dan;
66;kita;
66;melihat;
66;ada;
66;upaya;
66;menggagalkan;
66;untuk;
66;bisa;
66;menagih;
66;pemulihan;
66;lingkungan;
66;kepada;
66;"tergugat,""";
66;imbuh;
66;Uli;
66;kepada;
66;Quin;
66;Pasaribu;
66;yang;
66;melaporkan;
66;untuk;
66;BBC;B-org
66;News;I-org
66;Indonesia,;I-org
66;Rabu;B-tim
66;(10/11).;I-tim
67;"
Uli";B-per
67;menilai;
67;keputusan;
67;itu;
67;merupakan;
67;upaya;
67;untuk;
67;menghambat;
67;dalam;
67;menagih;
67;atau;
67;mendesak;
67;perusahaan;
67;bertanggung;
67;jawab;
67;atas;
67;konsesinya;
67;yang;
67;terbakar;
67;di;
67;tahun;B-tim
67;2015;I-tim
67;dan;I-tim
67;2019.;I-tim
68;"
Sumber";
68;gambar,;
68;Getty;
68;Images;
68;Keterangan;
68;gambar,;
68;Ini;
68;adalah;
68;foto;
68;hutan;
68;di;
68;Timika,;B-geo
68;Papua,;I-geo
68;yang;
68;hangus;
68;terbakar;
68;akibat;
68;penambangan;
68;emas;
68;tahun;B-tim
68;2017.;I-tim
69;"
""Kami";
69;curiga;
69;ada;
69;sesuatu;
69;yang;
69;tidak;
69;beres;
69;dari;
69;putusan;
69;PN;B-org
69;Jambi;I-org
69;dan;
69;kita;
69;sedang;
69;melakukan;
69;upaya;
69;banding;
69;dalam;
69;minggu;
69;"ini,""";
69;imbuhnya.;
70;"
Dua";
70;perusahaan;
70;yang;
70;diseret;
70;ke;
70;pengadilan;
70;itu;
70;yakni;
70;PT;B-org
70;Pesona;I-org
70;Belantara;I-org
70;Persada;I-org
70;yang;
70;luas;
70;arealnya;
70;mencapai;
70;18;B-qty
70;hektar;I-qty
70;dan;
70;PT;B-org
70;Putra;I-org
70;Duta;I-org
70;Indah;I-org
70;seluas;
70;16;B-qty
70;hektar.;I-qty
71;"
Walhi";
71;dalam;
71;gugatannya;
71;meminta;
71;dua;
71;perusahaan;
71;membayar;
71;ganti;
71;rugi;
71;pemulihan;
71;lingkungan;
71;sebesar;
71;Rp200;B-qty
71;miliar.;I-qty
72;"
'Putusan";
72;MA;
72;jadi;
72;preseden;
72;"buruk'

Lewati";
72;Podcast;
72;dan;
72;lanjutkan;
72;membaca;
72;Podcast;
72;Investigasi:;
72;Skandal;
72;Adopsi;
72;Investigasi;
72;untuk;
72;menyibak;
72;tabir;
72;adopsi;
72;ilegal;
72;dari;
72;Indonesia;B-geo
72;ke;
72;Belanda;B-geo
72;di;
72;masa;
72;lalu;
72;Episode;
72;Akhir;
72;dari;
72;"Podcast

Apa";
72;yang;
72;dikhawatirkan;
72;Uli,;
72;kata;
72;Manajer;
72;Kampanye;
72;Eksekutif;
72;Nasional;
72;Walhi;B-per
72;Wahyu;I-per
72;Perdana,;I-per
72;bisa;
72;saja;
72;terjadi;
72;menyusul;
72;putusan;
72;bebas;
72;PT;B-org
72;Kumai;I-org
72;Sentosa;I-org
72;oleh;
72;hakim;
72;kasasi;
72;Mahkamah;
72;Agung.;
73;"
Dalam";
73;putusannya;
73;hakim;
73;kasasi;
73;MA;
73;membebaskan;
73;perusahaan;
73;sawit;
73;itu;
73;dari;
73;tuntutan;
73;ganti;
73;rugi;
73;sebesar;
73;Rp935;B-qty
73;miliar;I-qty
73;dengan;
73;alasan;
73;perusahaan;
73;telah;
73;memasang;
73;papan;
73;peringatan;
73;dilarang;
73;membakar;
73;lahan.;
74;"
Selain";
74;itu,;
74;pekerja;
74;juga;
74;telah;
74;diberi;
74;arahan;
74;untuk;
74;tidak;
74;melakukan;
74;pembakaran;
74;lahan;
74;dan;
74;melakukan;
74;pemadaman;
74;apabila;
74;melihat;
74;ada;
74;api;
74;menyala.;
75;"
""Hal";
75;terburuk;
75;ke;
75;depan;
75;jadi;
75;preseden.;
76;Kalau;
76;pasang;
76;papan;
76;peringatan;
76;bisa;
76;lolos,;
76;nanti;
76;semua;
76;perusahaan;
76;cukup;
76;pasang;
76;plang;
76;saja.;
77;Itu;
77;kenapa;
77;kerusakan;
77;lingkungan;
77;hidup;
77;yang;
77;berdampak;
77;strategis;
77;harusnya;
77;hakim;
77;menggunakan;
77;pendekatan;
77;pasal;
77;88;
77;UU;
77;Nomor;
77;32;
77;tahun;
77;2009;
77;soal;
77;pertanggung;
77;jawaban;
77;"mutlak,""";
77;jelas;
77;Wahyu;B-per
77;Perdana;I-per
77;kepada;
77;BBC;B-org
77;News;I-org
77;Indonesia;I-org
77;melalui;
77;sambungan;
77;telepon,;
77;Rabu;B-tim
77;(10/11).;I-tim
78;"
""Siapapun";
78;yang;
78;usahanya;
78;mengakibatkan;
78;kerusakan;
78;lingkungan;
78;hidup,;
78;dia;
78;bertanggung;
78;jawab;
78;mutlak;
78;tanpa;
78;perlu;
78;pembuktian;
78;unsur;
78;kesalahan.;
79;Selama;
79;[kebakaran];
79;ada;
79;dalam;
79;konsesi,;
79;harusnya;
79;[perusahaan];
79;bertanggung;
79;"jawab.""

Sumber";
79;gambar,;
79;Getty;
79;Images;
79;Keterangan;
79;gambar,;
79;Catatan;
79;LSM;
79;lingkungan;
79;Walhi,;
79;gugatan;
79;karhutla;
79;yang;
79;menang;
79;di;
79;pengadilan;
79;sebesar;
79;Rp18;B-qty
79;triliun;I-qty
79;tak;
79;kunjung;
79;dieksekusi;
79;oleh;
79;pemerintah.;
80;"
Wahyu";B-per
80;juga;
80;menilai;
80;putusan;
80;itu;
80;janggal.;
81;Sebab;
81;jika;
81;merujuk;
81;pada;
81;aturan;
81;yang;
81;ada,;
81;tanggung;
81;jawab;
81;perusahaan;
81;pemilik;
81;konsesi;
81;tidak;
81;hanya;
81;berupa;
81;papan;
81;peringatan.;
82;"
Tapi";
82;ada;
82;tim;
82;pemadam,;
82;menara;
82;pemantau,;
82;serta;
82;petugas;
82;penjaga;
82;jika;
82;ada;
82;lahan;
82;gambut;
82;yang;
82;terbakar.;
83;"
Baginya";
83;vonis;
83;bebas;
83;itu;
83;menjadi;
83;potret;
83;suram;
83;penanganan;
83;kejahatan;
83;lingkungan;
83;hidup;
83;di;
83;Indonesia.;B-geo
84;"
Apalagi";
84;sebelumnya;
84;Menteri;B-org
84;Lingkungan;I-org
84;Hidup;I-org
84;dan;I-org
84;Kehutanan;I-org
84;Siti;B-per
84;Nurbaya;I-per
84;terang-terangan;
84;mengatakan;
84;"""pembangunan";
84;yang;
84;sedang;
84;berlangsung;
84;secara;
84;besar-besaran;
84;tidak;
84;boleh;
84;berhenti;
84;atas;
84;nama;
84;emisi;
84;karbon;
84;atau;
84;"deforestasi"".";
85;"
""Tentu";
85;[putusan;
85;MA];
85;jadi;
85;catatan;
85;kalau;
85;kemudian;
85;itu;
85;menjadi;
