id,screen_name,text,clean_text,dt,label_id,is_predict,label_name,label,Desc
15,id_infosumsel,"Penanggulangan Kebakaran Hutan dan Lahan, Pemerintah Sumsel Apel Kesiapsiagaan Personil

#kebakaranhutan
#SUMSELRAYA
#sumselterkini

https://t.co/ZfV0ucDrCz",tanggulang bakar hutan lahan perintah sumsel apel kesiapsiagaan personilkebakaranhutansumselrayasumselterkini,2022-06-22 4:21:59,1,1,pencegahan,pencegahan,
16,kodim0313kpr,Babinsa Koramil 15 Kuala Kampar dan Rpk perusahaan  Patroli Rutin daerah rawan karhutla https://t.co/6dDMEn0PrU,babinsa koramil kuala kampar rpk usaha patroli rutin daerah rawan karhutla,2022-06-22 4:33:43,1,1,pencegahan,pencegahan,
18,okezonenews,"BMKG mengeluarkan peringatan dini potensi karhutla di sebagian besar wilayah Nusa Tenggara Timu

https://t.co/Vq32bg7Qj4",bmkg keluar ingat dini potensi karhutla bagi besar wilayah nusa tenggara timu,2022-06-22 6:20:00,1,1,pencegahan,pencegahan,
21,ANTARASumsel,Sumsel siapkan ribuan personel karhutla 2022  https://t.co/QCT2JAurXt,sumsel siap ribu personel karhutla,2022-06-22 6:51:21,2,1,kebakaran,pencegahan,
22,SpiritRiau_com,"Sedang Patroli Karhutla di Rohul Tetiba Petugas Didatangi Seekor Rusa Jinak, Tingginya Capai 1 Meter https://t.co/uU56VnnpLJ",sedang patroli karhutla rohul tetiba tugas datang ekor rusa jinak tinggi capai meter,2022-06-22 6:56:26,1,1,pencegahan,pencegahan,
24,Utarapost1,Kalak BPBD Mura Hadiri Apel Kesiapsiagaan Penanggulangan Karhutla Sumsel https://t.co/MuErW6WSmu https://t.co/kMzSmQSxAo,kalak bpbd mura hadir apel kesiapsiagaan tanggulang karhutla sumsel,2022-06-22 7:07:08,1,1,pencegahan,pencegahan,
25,google_foto,#Foto: Apel Siaga Karhutla di Sumsel 2022 - https://t.co/cLNMBT1W0A - https://t.co/cLNMBT1W0A #foto #fotogoogle https://t.co/uEyzmme9JG,foto apel siaga karhutla sumsel foto fotogoogle,2022-06-22 7:15:35,2,1,kebakaran,pencegahan,
28,rsaupwr,BMKG Keluarkan Peringatan Dini Karhutla di NTT https://t.co/hl6MUCyyLU,bmkg keluar ingat dini karhutla ntt,2022-06-22 7:32:26,2,1,kebakaran,pencegahan,
30,Indopolitika,"Antisipasi Karhutla, Herman Deru Siapkan Ratusan Personel Hingga Sarana Prasarana https://t.co/hehZfq3zNW via @Indopolitika",antisipasi karhutla herman deru siap ratus personel hingga sarana prasarana via,2022-06-22 7:56:44,1,1,pencegahan,pencegahan,
31,Indopolitika,"Antisipasi Karhutla, Herman Deru Siapkan Ratusan Personel Hingga Sarana Prasarana https://t.co/hehZfq31Yo",antisipasi karhutla herman deru siap ratus personel hingga saranaprasarana,2022-06-22 7:56:59,1,1,pencegahan,pencegahan,
32,ANTARASumsel,BPBD Sumsel minta bantuan unit helikoper atasi karhutla  https://t.co/o7lQnd7NC1,bpbd sumsel minta bantu unit helikoper atas karhutla,2022-06-22 8:31:21,2,1,kebakaran,pencegahan,
33,ANTARASumsel,BPBD Sumsel minta bantuan unit helikopter atasi karhutla  https://t.co/9jyl4J8sZg,bpbd sumsel minta bantu unit helikopter atas karhutla,2022-06-22 8:41:21,2,1,kebakaran,pencegahan,
43,Sumsel_RMOL,"https://t.co/eXhDmywPM9 -  Cegah Karhutla, Masyarakat Bakal Dipinjami Alat Berat untuk Buka Lahan https://t.co/1GGsBW7E3b",cegah karhutla masyarakat bakal pinjam alat berat buka lahan,2022-06-22 10:58:03,1,1,pencegahan,pencegahan,
4,RCyberProjo,"Presiden @jokowi akan melihat Show-off Karhutla &amp; Penanggulangan Bencana bersama Polisi Hutan &amp; Manggala Agni Kementerian Lingkungan Hidup &amp; Kehutanan, serta melakukan peletakan batu pertama pembangunan Persemaian Mentawir. https://t.co/qJ0RhgVSUT",presiden lihat showoff karhutla amp tanggulang bencana sama polisi hutan amp manggala agni menteri lingkung hidup amp hutan laku leta batu pertama bangun semai mentawir,2022-06-22 1:27:03,2,1,kebakaran,rehabilitasi,
7,infobmkgkalbar,"Hai Sobat Info BMKG Kalbar,
Waspada potensi kemudahan terjadinya kebakaran hutan dan lahan di wilayah Kalimantan Barat untuk sepekan ini secara umum masuk dalam kategori aman.
#karhutla 
#karhutlakalbar 
#infobmkgkalbar 
#cuacakalbar https://t.co/figBzh2Bgx",hai sobat info bmkg kalbarwaspada potensi mudah jadi bakar hutan lahan wilayah kalimantan barat pek cara umum masuk kategori amankarhutla karhutlakalbar infobmkgkalbar cuacakalbar,2022-06-22 2:30:39,1,1,pencegahan,kebakaran,
8,PerumPerhutani,[:id]Perhutani Gelar Apel Siaga Bencana Karhutla di Lapangan Kledung Temanggung[:en]Perhutani Gelar Apel Siaga Bencana Karhutla di Lapangan Kledung Temanggung[:] https://t.co/Orop25R6jx,idperhutani gelar apel siaga bencana karhutla lapang kledung temanggungenperhutani gelar apel siaga bencana karhutla lapang kledungtemanggung,2022-06-22 2:56:41,1,1,pencegahan,pencegahan,
19,kodim0416bungo1,"Gelar Sosialisasi Karhutla Bersama Stakeholder Koramil 416-05/MT Cegah Sedini Mungkin 

https://t.co/ne9bzsRMev https://t.co/tEKLDvYqME",gelar sosialisasi karhutla sama stakeholder koramil mt cegah din mungkin,2022-06-22 6:27:57,1,1,pencegahan,pencegahan,
20,republikaonline,Sebagian besar wilayah NTT berada pada kategori sangat mudah terjadi karhutla https://t.co/UJAkvdwKxx,besar wilayah ntt pada kategori sangat mudah jadi karhutla,2022-06-22 6:45:07,1,1,pencegahan,mitigasi,
34,strobevly,"Setibanya di Bandara Internasional Sultan Aji Muhammad Sulaiman Sepinggan, Presiden Jokowi akan menuju Kabupaten Penajam Paser Utara. Presiden akan melihat Show-off Karhutla dan Penanggulangan Bencana, serta melakukan peletakan batu pertama pembangunan Persemaian Mentawir. https://t.co/fY196OEpDg",tiba bandara internasional sultan aji muhammad sulaiman pinggan presiden jokowi tuju kabupaten najam paser utara presiden lihat showoff karhutla tanggulang bencana laku leta batu pertama bangun semai mentawir,2022-06-22 8:42:24,5,1,rehabilitasi,rehabilitasi,
35,PakarINTELek,"Presiden Jokowi akan menuju Persemaian Mentawir di Kabupaten Penajam Paser Utara. Di lokasi tersebut, Presiden akan melihat Show-off Karhutla dan Penanggulangan Bencana, serta melakukan peletakan batu pertama pembangunan Persemaian Mentawir. https://t.co/iy23G8vTKw",presiden jokowi tuju semai mentawir kabupaten najam paser utara lokasi sebut presiden lihat showoff karhutla tanggulang bencana laku leta batu pertama bangun semai mentawir,2022-06-22 8:48:34,2,1,kebakaran,rehabilitasi,
36,republikaonline,Pemprov Sumsel menetapkan status siaga karhutla sejak 19 April hingga November nanti. https://t.co/qYZotug4N5,pemprov sumsel tetap status siaga karhutla sejak april hingga november,2022-06-22 8:48:58,1,1,pencegahan,,
37,tonynfection,"Sumsel Siaga Karhutla, Ribuan Personel Dikerahkan https://t.co/sc7ZlNyjFJ",sumsel siaga karhutla ribu personel kerah,2022-06-22 8:52:17,2,1,kebakaran,mitigasi,
38,ArioNovear,"Buka Rakor Damkar, Gubernur Mahyeldi Minta Daerah Siapkan Posko Satgas Hadapi Bencana Karhutla https://t.co/9s1ItWeMU1 https://t.co/WCLmJL8lsL",buka rakor damkar gubernur mahyeldi minta daerah siap posko satgas hadap bencana karhutla,2022-06-22 9:50:29,1,1,pencegahan,pencegahan,
39,SJarrakpos,KASDAM II/SRIWIJAYA HADIRI APEL KESIAPSIAGAAN PERSONIL DAN PERALATAN PENANGGULANGAN KARHUTLA SUMSEL TAHUN 2022 https://t.co/Z85W7WmpJD,kasdam iisriwijaya hadir apel kesiapsiagaan personil alat tanggulang karhutla sumsel tahun,2022-06-22 9:55:10,1,1,pencegahan,penanggulangan,
41,BeritalinkNews,Teknologi terkini padamkan karhutla – ANTARA News https://t.co/MZ7tPydgTZ,teknologi kini padam karhutla antaranews,2022-06-22 10:35:06,2,1,kebakaran,,
44,mediaindonesia,"Pemerintah Provinsi Sumatra Selatan menyiagakan personel dan peralatan untuk penanggulangan kebakaran hutan dan lahan atau karhutla 2022. Bahkan, status siaga karhutla di provinsi itu telah diberlakukan sejak 19 April 2022 sampai November 2022.  https://t.co/GGkgGz3m5a",perintah provinsi sumatra selatan siaga personel alat tanggulang bakar hutan lahan karhutla bahkan status siaga karhutla provinsi telah laku sejak april november,2022-06-22 12:18:31,2,1,kebakaran,penanggulangan,
45,awanhitam_oi,"Setibanya di Bandara Internasional Sultan Aji Muhammad Sulaiman Sepinggan, Kota Balikpapan, Presiden Jokowi akan menuju Persemaian Mentawir di Kabupaten Penajam Paser Utara. Di lokasi tersebut, Presiden akan melihat Show-off Karhutla dan Penanggulangan Bencana https://t.co/j6oqJurQ4W",tiba bandara internasional sultan aji muhammad sulaiman pinggan kota balikpapan presiden jokowi tuju semai mentawir kabupaten najam paser utara lokasi sebut presiden lihat showoff karhutla tanggulang bencana,2022-06-22 12:39:23,5,1,rehabilitasi,rehabilitasi,
46,suka011,"RT @Paltiwest: Setibanya di Bandara Internasional Sultan Aji Muhammad Sulaiman Sepinggan, Presiden Jokowi akan menuju Kabupaten Penajam Pas…",tiba bandara internasional sultan aji muhammad sulaiman pinggan presiden jokowi tuju kabupaten najam pas,2022-06-22 12:43:45,1,1,pencegahan,unknow,ragu
48,idntimes,RT @IDNTimesSumsel: Luas lahan yang terbakar meningkat Semester I 2021 https://t.co/8EBLVXqWoK,luas lahan bakar tingkat semester i,2022-06-22 12:45:03,2,1,kebakaran,kebakaran,
50,idntimes,RT @IDNTimesSumsel: Wilayah rawan karhutla di Sumsel bertambah menjadi 12 daerah https://t.co/NaM4UswOzb,wilayah rawan karhutla sumsel tambah jadi daerah,2022-06-22 13:01:04,2,1,kebakaran,,
51,sumselterkini,"Cegah Karhutla, Gubernur Kerahkan Semua Kekuatan dan Peralatan - https://t.co/g3e3Cp4gQE https://t.co/9aa4aVFSpQ",cegah karhutla gubernur kerah semua kuat alat,2022-06-22 13:04:36,2,1,kebakaran,pencegahan,
52,voidotid,"Kebakaran hutan dan lahan (karhutla) terjadi di Aceh yang menghanguskan sekitar lima hektare lahan di wilayah Gampong Padang Sakti, Kecamatan Muara Satu, Kota Lhokseumawe. https://t.co/eRqBbF6dHf",bakar hutan lahan karhutla jadi aceh hangus lima hektare lahan wilayah gampong padang sakti camat muara satu kota lhokseumawe,2022-06-22 14:01:22,1,1,pencegahan,kebakaran,
54,Mediarealitas_C,Plh Bupati Muara Enim Ikuti Apel Kesiapsiagaan Bencana Karhutla https://t.co/ULc1GZUXA2,plh bupati muara enim ikut apel kesiapsiagaan bencanakarhutla,2022-06-22 15:39:45,2,1,kebakaran,pencegahan,
55,bbyEmily01,"Presiden @jokowi melihat Show-off Karhutla dan Penanggulangan Bencana bersama Polisi Hutan dan Manggala Agni Kementerian Lingkungan Hidup dan Kehutanan, serta melakukan peletakan batu pertama pembangunan Persemaian Mentawir.
#Jokowi #KawalJokowi #IndonesiaMaju https://t.co/4UtSNXECxR",presiden lihat showoff karhutla tanggulang bencana sama polisi hutan manggala agni menteri lingkung hidup hutan laku leta batu pertama bangun semai mentawirjokowi kawaljokowi indonesiamaju,2022-06-22 15:43:17,1,1,pencegahan,rehabilitasi,
56,GATRA_com,"Sumsel Kerahkan 925 Personel untuk Cegah Karhutla

https://t.co/Hc4tVJgQOV",sumsel kerah personel cegah karhutla,2022-06-22 16:28:01,2,1,kebakaran,pencegahan,
57,ewanteha,Pemprov Sumbar Siapkan Posko Satgas Hadapi Bencana Karhutla https://t.co/MCxfmbJatT,pemprov sumbar siap posko satgas hadap bencana karhutla,2022-06-22 16:38:40,2,1,kebakaran,pencegahan,
58,mang_ib,RT @bbyEmily01: Presiden @jokowi melihat Show-off Karhutla dan Penanggulangan Bencana bersama Polisi Hutan dan Manggala Agni Kementerian Li…,presiden lihat showoff karhutla tanggulang bencana sama polisi hutan manggala agni menteri li,2022-06-22 17:14:22,1,1,pencegahan,mitigasi,
59,Buanaindonesia1,HD Kerahkan Semua Kekuatan dan Peralatan Cegah Karhutla di Sumsel https://t.co/LicYT5XXaK,hd kerah semua kuat alat cegah karhutla disumsel,2022-06-22 21:57:04,2,1,kebakaran,pencegahan,
60,gashinaryu,"Setibanya di Bandara Internasional Sultan Aji Muhammad Sulaiman Sepinggan, Kota Balikpapan, Presiden Joko Widodo akan melihat Show-off Karhutla #IndonesiaKuatMakmur
https://t.co/xpQQE8szMf",tiba bandara internasional sultan aji muhammad sulaiman pinggan kota balikpapan presiden joko widodo lihat showoff karhutla indonesiakuatmakmur,2022-06-22 23:00:00,1,1,pencegahan,mitigasi,
61,Gege42alisa,"Di lokasi tersebut, Presiden akan melihat Show-off Karhutla 
Presiden melakukan banyak kunjungan kerja #IndonesiaKuatMakmur https://t.co/6FcqBwWmdH",lokasi sebut presiden lihat showoff karhutla presiden laku banyak kunjung kerja indonesiakuatmakmur,2022-06-22 23:00:01,1,1,pencegahan,mitigasi,
62,verinaryu,"Presiden Joko Widodo akan melihat Show-off Karhutla dan Penanggulangan Bencana bersama Polisi Hutan dan Manggala Agni Kementerian Lingkungan Hidup dan Kehutanan #IndonesiaKuatMakmur
https://t.co/L39l0XzMcX",presiden joko widodo lihat showoff karhutla tanggulang bencana sama polisi hutan manggala agni menteri lingkung hidup hutan indonesiakuatmakmur,2022-06-22 23:00:02,5,1,rehabilitasi,penanggulangan,
64,AiSucay,"Pemerintah berkomitmen untuk mempertahankan kawasan hutan di lokasi pembangunan IKN 
Di lokasi tersebut, Presiden akan melihat Show-off Karhutla #IndonesiaKuatMakmur https://t.co/u5C9tpSz0g",perintah komitmen tahan kawasan hutan lokasi bangun ikn lokasi sebut presiden lihat showoff karhutla indonesiakuatmakmur,2022-06-22 23:00:23,1,1,pencegahan,penanggulangan,
65,farezbahawi,"Di lokasi tersebut, Presiden akan melihat Show-off Karhutla #IndonesiaKuatMakmur https://t.co/V56GhcOlrZ",lokasi sebut presiden lihat showoff karhutla indonesiakuatmakmur,2022-06-22 23:01:11,2,1,kebakaran,rehabilitasi,
66,galonle,"Di tempat tersebut, Presiden akan liat Show-off Karhutla #IndonesiaKuatMakmur",tempat sebut presiden liat showoff karhutla indonesiakuatmakmur,2022-06-22 23:12:57,2,1,kebakaran,rehabilitasi,
67,PerumPerhutani,[:id]Perhutani Mengikuti Apel Siaga Karhutla dan Kekeringan di Kuningan[:] https://t.co/CLahJk3NRq,idperhutani ikut apel siaga karhutla kering kuning,2022-06-23 0:23:49,2,1,kebakaran,pencegahan,
68,swara_semesta,Temuan Cerita Tim Gabungan Kabupaten Rokan Hulu Laksanakan Patroli Karhutla dan Temui Rusa Jinak https://t.co/s9kiVHbMkB,temu cerita tim gabung kabupaten rok hulu laksana patroli karhutla temu rusa jinak,2022-06-23 0:58:44,1,1,pencegahan,pencegahan,
69,infobmkgkalbar,"Potensi terjadi kebakaran hutan dan lahan di Kalbar diprakirakan masih dalam kategori aman hingga 1 minggu ke depan
#karhutla #spartan #fdrs
#karhutlakalbar 
#infobmkgkalbar 
#cuacakalbar https://t.co/aFluSr2a8t",potensi jadi bakar hutan lahan kalbar prakira dalam kategori aman hingga minggu depankarhutla spartan fdrskarhutlakalbar infobmkgkalbar cuacakalbar,2022-06-23 1:18:44,1,1,pencegahan,kebakaran,
71,mediasekato,"Siaga Karhutla, Bachyuni Akan Ajukan 5 Helikopter Waterbombing https://t.co/sAyN6LQ1dL",siaga karhutla bachyuni aju helikopterwaterbombing,2022-06-23 1:27:48,2,1,kebakaran,pencegahan,
72,sariagri_id,"Kebakaran hutan dan lahan (karhutla) terjadi di Aceh yang menghanguskan sekitar lima hektare lahan di wilayah Gampong Padang Sakti.
https://t.co/qvPMg43YBs

#sariagri #faktaunik #infounik #informasi #berita #kehutanan",bakar hutan lahan karhutla jadi aceh hangus lima hektare lahan wilayah gampong padang sakti faktaunik infounik informasi berita hutan,2022-06-23 1:31:00,5,1,rehabilitasi,kebakaran,
73,PelitaSumatera,"Apel Kesiapsiagaan Karhutla, Gubernur Sumsel Tegaskan Lima Hal https://t.co/ljG92pP20f",apel kesiapsiagaan karhutla gubernur sumsel tegas limahal,2022-06-23 1:37:28,2,1,kebakaran,pencegahan,
75,mediasekato,PJ Bupati Muaro Jambi Himbau Masyarakat dan Pemkab Siaga Karhutla https://t.co/ZH098wP6OA,pj bupati muaro jambi himbau masyarakat pemkab siagakarhutla,2022-06-23 1:38:09,2,1,kebakaran,pencegahan,
76,0906Kodim,"Dalam rangka mencegah terjadinya kebakaran hutan dan lahan (Karhutla) Babinsa 0906-11/Kenohan Sertu Zaini bersama tim gabungan melakukan patroli gabungan di wilayah hukum kenohan 

https://t.co/Yoemnd17Y6 https://t.co/u5NTEmgJMq",rangka cegah jadi bakar hutan lahan karhutla babinsa kenohan sertu zaini sama tim gabung laku patroli gabung wilayah hukum kenohan,2022-06-23 3:49:01,2,1,kebakaran,pencegahan,
77,01_rumbai,"Serka Usman Patroli Karhutla di Dua Wilayah
https://t.co/nlVWG7v0MD https://t.co/smZcCISNKW",serka usman patroli karhutla dua wilayah,2022-06-23 4:38:08,2,1,kebakaran,pencegahan,
78,kodim0313kpr,Babinsa Koramil 03 Bunut Rutin Lakukan Patroli dan Sosialisasi Cegah Karhutla di Wilayah Binaan https://t.co/mQALQ1o1vY,babinsa koramil bunut rutin laku patroli sosialisasi cegah karhutla wilayah bina,2022-06-23 5:09:41,1,1,pencegahan,pencegahan,
79,red_Beritapojok,Babinsa Mundam Patroli dan Sosialisasi Pencegahan Karhutla https://t.co/GvvMaXHi6A,babinsa mundam patroli sosialisasi pencegahankarhutla,2022-06-23 5:51:19,2,1,kebakaran,pencegahan,
80,Ur_ban_Id,Herman Deru Kerahkan Semua Kekuatan dan Peralatan Cegah Karhutla di Sumsel https://t.co/ope7vngzJS,herman deru kerah semua kuat alat cegah karhutla disumsel,2022-06-23 5:51:44,1,1,pencegahan,pencegahan,
81,Line_LKH,"Cegah Karhutla, Serda Cerza Katno Himbau Larangan Membuka Lahan https://t.co/KrL4Zkkj0r",cegah karhutla serda cerza katno himbau larang membukalahan,2022-06-23 6:21:27,2,1,kebakaran,pencegahan,
82,Riau1Official,"Karhutla Paling Luas Terjadi di Rohul dan Bengkalis: https://t.co/fvfXioG0Q1 - Berdasarkan pengakuan Kepala Badan Penanggulangan Bencana Daerah (BPBD) Riau, Edy Afrizal secara umum luas lahan yang terbakar di Provinsi Riau menurun jika dibandingkan… https://t.co/fYMYLzVm9w https://t.co/zDPous24X4",karhutla paling luas jadi rohul bengkal dasar aku kepala badan tanggulang bencana daerah bpbd riau edy afrizal cara umum luas lahan bakar provinsi riau turun banding,2022-06-23 6:37:34,2,1,kebakaran,kebakaran,
84,sumsel24,Herman Deru Ungkap Sumsel Zero Asap 2021 Jadi Contoh Penanganan Karhutlah 2022: Gubernur Provinsi Sumatera Selatan (Sumsel) Herman Deru mengungkap keberhasilan Zero Asap di 2021 jadi contoh pengangan Karhutla di 2022. https://t.co/Kk0UjeG4Hb,herman deru ungkap sumsel zero asap jadi contoh tangan karhutlah gubernur provinsi sumatera selatan sumsel herman deru ungkap hasil zero asap jadi contoh pengang karhutla,2022-06-23 8:09:02,1,1,pencegahan,penanggulangan,
85,mediaindonesia,"Kabupaten Musi Banyuasin (Muba), Sumatera Selatan lebih meningkatkan kewaspadaan dan kesiapsiagaan agar tidak terjadi kebakaran hutan dan lahan (karhutla).  https://t.co/2tmkRseDqw",kabupaten mus banyuasin muba sumatera selatan lebih tingkat waspada kesiapsiagaan tidak jadi bakar hutan lahan karhutla,2022-06-23 10:34:36,1,1,pencegahan,pencegahan,
86,InfoHumasBMKG,"Haloo #SobatBMKG! 
Mimin mau kasih update prakiraan cuaca selama tiga hari untuk tanggal 23-25 Juni 2022! Yuk dicek, terutama buat yang punya kegiatan di luar rumah nih! Oh iya, hati-hati juga Sobat terhadap potensi karhutla di NTT. Stay safe &amp; happy Sobat!

#IkhtisarCuaca
#BMKG https://t.co/vVJjNPhgs5",haloo sobatbmkg mimin mau kasih update prakira cuaca lama tiga hari tanggal juni yuk cek utama buat punya giat luar rumah nih iya hatihati sobat hadap potensi karhutla ntt stay safe amp happy sobatikhtisarcuacabmkg,2022-06-23 11:59:21,2,1,kebakaran,pencegahan,
87,jehensa,"RT @InfoHumasBMKG: Haloo #SobatBMKG! 
Mimin mau kasih update prakiraan cuaca selama tiga hari untuk tanggal 23-25 Juni 2022! Yuk dicek, ter…",haloo sobatbmkg mimin mau kasih update prakira cuaca lama tiga hari tanggal juni yuk cek ter,2022-06-23 12:01:36,1,1,pencegahan,unknow,
89,dee_arif,"Sedih ya, seolah-olah kebakaran hutan dan lahan sudah dianggap bencana tahunan 
Padahal, faktanya karhutla ini terjadi Krn ulah manusia
Lalu, kalau sudah seperti ini siapa yg bertanggungjawab?Cari tahu jawabannya di blog teh @LendyReny 
https://t.co/sjz22Xg8VW
#MalamJumat",sedih seolaholah bakar hutan lahan anggap bencana tahun padahal fakta karhutla jadi krn ulah manusialalu kalau seperti siapa yg bertanggungjawabcari tahu jawab blog teh,2022-06-23 12:55:44,1,1,pencegahan,kebakaran,
90,gwenkyute,"RT @kangdede78: Di lokasi tersebut, Presiden akan melihat Show-off Karhutla dan Penanggulangan Bencana bersama Polisi Hutan dan Manggala Ag…",lokasi sebut presiden lihat showoff karhutla tanggulang bencana sama polisi hutan manggala ag,2022-06-23 13:21:54,1,1,pencegahan,mitigasi,
91,LendyReny,"RT @dee_arif: Sedih ya, seolah-olah kebakaran hutan dan lahan sudah dianggap bencana tahunan 
Padahal, faktanya karhutla ini terjadi Krn ul…",sedih seolaholah bakar hutan lahan anggap bencana tahun padahal fakta karhutla jadi krn ul,2022-06-23 13:34:05,1,1,pencegahan,kebakaran,
92,LendyReny,"Apa benar penyebab karhutla adl kemarau panjang?
Atau bgmn dgn tradisi karhutla dr tahun ke tahun?
Apakah di titik api yg berbeda atau berulang di tempat yg sama?

Simak Mitos VS Fakta mengenai kebakaran hutan &amp; lahan dr artikel kak @dian_ismy #MalamJumat

https://t.co/0FCcFYCgRO",apa benar karhutla adl kemarau panjangatau bgmn dgn tradisi karhutla dr tahun tahunapakah titik api yg beda ulang tempat yg samasimak mitos vs fakta kena bakar hutan amp lahan dr artikel kak malamjumat,2022-06-23 13:46:18,1,1,pencegahan,kebakaran,
93,nisaahani,"Apa sih fakta dan mitos tentang kebakaran hutan dan lahan?

Kalo kalian kepo, cus #MalamJumat ini baca di tulisannya mba @dian_ismy .
Biar nambah info baru, tahu faktanya, dampaknya, dan tentu saja cara mencegahnya. Sama2 kita hindari terjadi karhutla lagi
https://t.co/5gudC23lx1",apa sih fakta mitos bakar hutan lahankalo kalian kepo cus malamjumat baca tulis mba biar nambah info baru tahu fakta dampak tentu cara cegah sama hindar jadi karhutla,2022-06-23 14:00:33,1,1,pencegahan,kebakaran,
94,kabedejambi,Mencari Solusi Permanen Pencegahan Karhutla di Jambi https://t.co/YGdI78HR0C,cari solusi permanen cegah karhutla dijambi,2022-06-23 15:28:38,2,1,kebakaran,pencegahan,
95,Klasterkarhutla,"Palembang, Kamis (23/06/2022), Pelatihan Fire Risk System didukung penggunaan aplikasi SIDIK untuk analisis kerentanan sosial dan ekonomi dikawasan klaster pengendalian karhutla di Kab.OKI Sumatera Selatan.Kegiatan ini didukung CCROM IPB dan Kemitraan sebagai Fasilitator program. https://t.co/IIvnQxuCB2",palembang kamis latih fire risk system dukung aplikasi sidik analisis rentan sosial ekonomi kawasan klaster kendali karhutla kaboki sumatera selatankegiatan dukung ccrom ipb mitra bagai fasilitator program,2022-06-23 15:41:17,5,1,rehabilitasi,mitigasi,
